date,portfolio_value,cash,MSFT,NVDA,AAPL,AMZN,GOOGL,META
2019-06-28 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-01 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-02 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-03 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-05 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-08 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-09 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-10 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-11 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-12 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-15 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-16 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-17 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-18 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-19 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-22 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-23 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-24 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-25 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-26 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-29 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-30 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-07-31 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-08-01 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-08-02 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-08-05 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-08-06 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-08-07 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-08-08 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-08-09 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
